time_ist,security_id,instrument_name,best_bid,best_ask,spread,total_bid_qty,total_ask_qty,total_bid_orders,total_ask_orders,imbalance_ratio,,avg_bid_order_size,avg_ask_order_size,,bid_vwap,Bid Vwap change,ask_vwap,ask vwap change,bid_50pct_level,ask_50pct_level,order ratio,OIMBR,Bids Avg value,Ask avg value,ratio
15:21:43,49543,NIFTY DEC 2025 FUT,25961.1,25961.2,0.1,111825,102975,436,502,1.0859,1%,256.48,205.13,1.25032906,25930.08,1%,25989.79,1%,117,100,0.868525896,1.250279358,289.9631196,267.6298625,1.0834483
15:21:43,49543,NIFTY DEC 2025 FUT,25961.1,25961.2,0.1,112275,103050,442,503,1.0895,0%,254.02,204.87,1.239908234,25929.85,-1%,25989.59,-1%,113,103,0.878727634,1.23986086,291.1273909,267.822725,1.087015267
15:21:44,49543,NIFTY DEC 2025 FUT,25961.1,25961.2,0.1,111900,102975,449,501,1.0867,0%,249.22,205.54,1.212513379,25929.72,-1%,25989.47,0%,110,103,0.896207585,1.212553898,290.1535668,267.6265673,1.084173256
15:21:44,49543,NIFTY DEC 2025 FUT,25961,25961.2,0.2,112050,103050,447,503,1.0873,0%,250.67,204.87,1.223556402,25929.91,1%,25989.59,0%,112,103,0.888667992,1.223516555,290.5446416,267.822725,1.08483939
15:21:44,49543,NIFTY DEC 2025 FUT,25961,25961.2,0.2,111375,103275,441,504,1.0784,-1%,252.55,204.91,1.232492314,25929.75,-1%,25989.41,-1%,112,101,0.875,1.232457143,288.7925906,268.4056318,1.075955779
15:21:44,49543,NIFTY DEC 2025 FUT,25961.1,25961.2,0.1,112050,103200,448,503,1.0858,1%,250.11,205.17,1.219037871,25929.81,0%,25989.42,0%,111,101,0.890656064,1.219101339,290.5435211,268.2108144,1.083265497
15:21:45,49543,NIFTY DEC 2025 FUT,25961.1,25961.2,0.1,111375,103125,441,500,1.08,-1%,252.55,206.25,1.224484848,25930.11,1%,25989.25,-1%,114,102,0.882,1.224489796,288.7966001,268.0141406,1.077542399
15:21:45,49543,NIFTY DEC 2025 FUT,25961.1,25961.2,0.1,111675,103575,443,507,1.0782,0%,252.09,204.29,1.233981105,25929.87,-1%,25989.51,1%,113,100,0.873767258,1.233967043,289.5718232,269.1863498,1.075729967
15:21:45,49543,NIFTY DEC 2025 FUT,25961.1,25961.2,0.1,111300,103800,440,508,1.0723,-1%,252.95,204.33,1.237948417,25930.09,1%,25989.46,0%,114,98,0.866141732,1.238019091,288.6019017,269.7705948,1.069804891
15:21:45,49543,NIFTY DEC 2025 FUT,25961.1,25961.2,0.1,110475,103575,434,507,1.0666,-1%,254.55,204.29,1.246022811,25929.89,-1%,25989.51,0%,114,100,0.856015779,1.246005069,286.4604598,269.1863498,1.064171567
15:21:46,49543,NIFTY DEC 2025 FUT,25961.1,25961.2,0.1,110400,103650,433,508,1.0651,0%,254.97,204.04,1.24960792,25929.88,0%,25989.63,0%,114,100,0.852362205,1.249586143,286.2658752,269.382515,1.062674299
15:21:46,49543,NIFTY DEC 2025 FUT,25961,25961.2,0.2,110400,103725,433,509,1.0644,0%,254.97,203.78,1.251202277,25929.98,0%,25989.57,0%,115,100,0.850687623,1.251223095,286.2669792,269.5768148,1.061912462
15:21:46,49543,NIFTY DEC 2025 FUT,25960.2,25962.9,2.7,108675,105750,432,526,1.0277,-3%,251.56,201.05,1.251231037,25929.57,-2%,25989.18,-2%,116,95,0.821292776,1.251319907,281.789602,274.8355785,1.025302486
15:21:46,49543,NIFTY DEC 2025 FUT,25960.2,25962.9,2.7,108675,105750,432,526,1.0277,0%,251.56,201.05,1.251231037,25929.57,0%,25989.18,0%,116,95,0.821292776,1.251319907,281.789602,274.8355785,1.025302486
15:21:47,49543,NIFTY DEC 2025 FUT,25960.1,25962.9,2.8,110100,106050,434,529,1.0382,1%,253.69,200.47,1.265476131,25929.93,1%,25989.11,0%,114,94,0.820415879,1.26545576,285.4885293,275.6145116,1.035825464
15:21:47,49543,NIFTY DEC 2025 FUT,25960.1,25962.9,2.8,108750,108225,434,532,1.0049,-3%,250.58,203.43,1.231775058,25929.48,-2%,25989.67,2%,115,94,0.815789474,1.231812903,281.983095,281.2732036,1.00252385
15:21:47,49543,NIFTY DEC 2025 FUT,25960.1,25962.9,2.8,110025,108750,435,534,1.0117,1%,252.93,203.65,1.241983796,25929.81,1%,25989.55,0%,113,94,0.814606742,1.241948966,285.2927345,282.6363563,1.009398572
15:21:47,49543,NIFTY DEC 2025 FUT,25960.1,25962.9,2.8,110250,108750,437,534,1.0138,0%,252.29,203.65,1.238841149,25929.87,0%,25989.56,0%,113,94,0.81835206,1.238831121,285.8768168,282.636465,1.011464734
15:21:48,49543,NIFTY DEC 2025 FUT,25960.1,25962.9,2.8,110550,108750,440,534,1.0166,0%,251.25,203.65,1.233734348,25929.74,-1%,25989.56,0%,112,94,0.823970037,1.233782727,286.6532757,282.636465,1.014211934
15:21:48,49543,NIFTY DEC 2025 FUT,25961.2,25962.9,1.7,110475,108825,436,535,1.0152,0%,253.38,203.41,1.245661472,25930.06,1%,25989.55,0%,114,94,0.814953271,1.245715596,286.4623379,282.8312779,1.012838255
15:21:48,49543,NIFTY DEC 2025 FUT,25961.2,25962.9,1.7,110625,107025,438,534,1.0336,2%,252.57,200.42,1.260203572,25929.99,0%,25988.9,-3%,113,89,0.820224719,1.260142466,286.8505144,278.1462023,1.031294018
