time_ist,security_id,instrument_name,best_bid,best_ask,spread,total_bid_qty,total_ask_qty,total_bid_orders,total_ask_orders,imbalance_ratio,avg_bid_order_size,avg_ask_order_size,bid_vwap,ask_vwap,bid_50pct_level,ask_50pct_level
2025-12-29 14:17:45.610069,49543,NIFTY DEC 2025 FUT,25941.2,25945.0,3.8,111450,113850,504,532,0.9789,221.13,214.0,25915.81,25981.55,111,117
2025-12-29 14:17:45.809182,49543,NIFTY DEC 2025 FUT,25942.5,25945.0,2.5,111675,113925,506,533,0.9803,220.7,213.74,25915.76,25981.42,111,118
2025-12-29 14:17:46.210796,49543,NIFTY DEC 2025 FUT,25941.1,25945.0,3.9,111600,113475,500,532,0.9835,223.2,213.3,25916.35,25981.68,114,117
2025-12-29 14:17:46.409260,49543,NIFTY DEC 2025 FUT,25941.2,25945.0,3.8,111975,112875,507,527,0.992,220.86,214.18,25915.99,25981.76,112,117
2025-12-29 14:17:46.609290,49543,NIFTY DEC 2025 FUT,25941.2,25945.0,3.8,111975,108750,507,517,1.0297,220.86,210.35,25916.0,25979.74,112,117
2025-12-29 14:17:46.822350,49543,NIFTY DEC 2025 FUT,25941.8,25945.0,3.2,112200,111000,509,525,1.0108,220.43,211.43,25916.05,25982.11,112,120
2025-12-29 14:17:47.030470,49543,NIFTY DEC 2025 FUT,25941.9,25945.0,3.1,111975,110775,504,530,1.0108,222.17,209.01,25916.43,25983.11,113,119
2025-12-29 14:17:47.410303,49543,NIFTY DEC 2025 FUT,25941.0,25945.0,4.0,108900,106125,495,537,1.0261,220.0,197.63,25915.67,25984.77,115,120
2025-12-29 14:17:47.609879,49543,NIFTY DEC 2025 FUT,25941.0,25945.0,4.0,111000,112500,494,546,0.9867,224.7,206.04,25916.14,25982.81,114,119
2025-12-29 14:17:47.811535,49543,NIFTY DEC 2025 FUT,25941.0,25945.0,4.0,111450,113625,501,545,0.9809,222.46,208.49,25915.89,25978.57,112,113
2025-12-29 14:17:48.009676,49543,NIFTY DEC 2025 FUT,25941.0,25945.0,4.0,110025,111000,489,538,0.9912,225.0,206.32,25915.63,25977.4,115,113
2025-12-29 14:17:48.210265,49543,NIFTY DEC 2025 FUT,25941.0,25944.6,3.6,110250,111000,493,538,0.9932,223.63,206.32,25915.52,25977.39,113,113
2025-12-29 14:17:48.610270,49543,NIFTY DEC 2025 FUT,25941.2,25944.4,3.2,109575,110400,486,530,0.9925,225.46,208.3,25915.53,25977.07,115,114
2025-12-29 14:17:48.810097,49543,NIFTY DEC 2025 FUT,25941.1,25944.4,3.3,108975,110550,482,532,0.9858,226.09,207.8,25915.51,25977.08,117,114
2025-12-29 14:17:49.009471,49543,NIFTY DEC 2025 FUT,25941.0,25945.0,4.0,96225,115275,475,557,0.8347,202.58,206.96,25911.76,25978.09,122,113
2025-12-29 14:17:49.209360,49543,NIFTY DEC 2025 FUT,25941.0,25944.4,3.4,101700,114825,474,551,0.8857,214.56,208.39,25912.96,25977.8,121,113
2025-12-29 14:17:49.409813,49543,NIFTY DEC 2025 FUT,25941.0,25944.3,3.3,106275,120000,497,572,0.8856,213.83,209.79,25913.15,25979.87,117,110
2025-12-29 14:17:49.811037,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,109575,119700,495,568,0.9154,221.36,210.74,25915.11,25979.65,112,111
2025-12-29 14:17:50.009167,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,108825,119625,494,567,0.9097,220.29,210.98,25914.96,25979.66,112,111
2025-12-29 14:17:50.209392,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,109125,119775,495,569,0.9111,220.45,210.5,25915.01,25979.67,112,110
2025-12-29 14:17:50.409261,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,109425,112500,491,548,0.9727,222.86,205.29,25915.28,25976.68,115,109
2025-12-29 14:17:50.609352,49543,NIFTY DEC 2025 FUT,25941.0,25943.9,2.9,108300,115275,486,557,0.9395,222.84,206.96,25914.95,25977.85,113,112
2025-12-29 14:17:51.009820,49543,NIFTY DEC 2025 FUT,25941.0,25943.9,2.9,101700,113325,475,557,0.8974,214.11,203.46,25912.32,25976.35,120,109
2025-12-29 14:17:51.209439,49543,NIFTY DEC 2025 FUT,25941.0,25943.9,2.9,100275,116025,486,565,0.8643,206.33,205.35,25911.66,25977.45,119,111
2025-12-29 14:17:51.410156,49543,NIFTY DEC 2025 FUT,25941.0,25943.9,2.9,108900,113250,493,556,0.9616,220.89,203.69,25913.47,25976.28,114,110
2025-12-29 14:17:51.609755,49543,NIFTY DEC 2025 FUT,25941.0,25943.9,2.9,109275,113700,498,562,0.9611,219.43,202.31,25913.53,25976.35,114,109
2025-12-29 14:17:51.809806,49543,NIFTY DEC 2025 FUT,25941.0,25943.9,2.9,108450,120825,491,580,0.8976,220.88,208.32,25914.19,25979.27,112,112
2025-12-29 14:17:52.211042,49543,NIFTY DEC 2025 FUT,25941.0,25943.9,2.9,110700,114150,512,549,0.9698,216.21,207.92,25913.82,25978.06,107,113
2025-12-29 14:17:52.409583,49543,NIFTY DEC 2025 FUT,25941.0,25943.9,2.9,110475,109425,505,523,1.0096,218.76,209.23,25914.65,25979.07,112,118
2025-12-29 14:17:52.609282,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,111000,98700,505,524,1.1246,219.8,188.36,25915.16,25989.05,114,128
2025-12-29 14:17:52.810421,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,113100,112650,524,550,1.004,215.84,204.82,25914.68,25982.68,109,120
2025-12-29 14:17:53.010067,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,113475,116025,528,548,0.978,214.91,211.72,25914.65,25981.02,108,119
2025-12-29 14:17:53.410288,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,113775,116100,530,548,0.98,214.67,211.86,25914.73,25980.88,108,119
2025-12-29 14:17:53.611710,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,113550,116625,534,550,0.9736,212.64,212.05,25914.23,25980.62,106,119
2025-12-29 14:17:53.809607,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,105600,120975,503,591,0.8729,209.94,204.7,25913.3,25980.38,118,112
2025-12-29 14:17:54.013702,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,108975,117525,493,578,0.9272,221.04,203.33,25914.69,25977.24,114,111
2025-12-29 14:17:54.210773,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,108975,122400,493,595,0.8903,221.04,205.71,25914.7,25979.13,114,110
2025-12-29 14:17:54.609163,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,110850,122850,505,597,0.9023,219.5,205.78,25915.06,25979.05,113,110
2025-12-29 14:17:54.809251,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,112125,120600,518,604,0.9297,216.46,199.67,25914.86,25980.18,111,116
2025-12-29 14:17:55.009709,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,112425,119625,524,567,0.9398,214.55,210.98,25914.87,25979.89,110,115
2025-12-29 14:17:55.209968,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,112950,119850,526,570,0.9424,214.73,210.26,25914.64,25979.89,110,113
2025-12-29 14:17:55.409400,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,112425,121425,524,591,0.9259,214.55,205.46,25914.88,25980.13,110,113
2025-12-29 14:17:55.810383,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,112950,121950,526,596,0.9262,214.73,204.61,25914.64,25979.94,110,112
2025-12-29 14:17:56.009982,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,113025,121425,528,583,0.9308,214.06,208.28,25914.51,25979.43,108,110
2025-12-29 14:17:56.209370,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,113625,122625,529,599,0.9266,214.79,204.72,25914.64,25979.78,109,110
2025-12-29 14:17:56.409665,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,112500,123000,519,603,0.9146,216.76,203.98,25914.41,25979.78,108,108
2025-12-29 14:17:56.609277,49543,NIFTY DEC 2025 FUT,25941.0,25944.0,3.0,112875,122175,523,592,0.9239,215.82,206.38,25914.44,25979.27,108,110
2025-12-29 14:17:57.010002,49543,NIFTY DEC 2025 FUT,25941.0,25943.9,2.9,104175,122700,499,594,0.849,208.77,206.57,25912.68,25978.93,118,111
2025-12-29 14:17:57.212518,49543,NIFTY DEC 2025 FUT,25941.0,25943.9,2.9,105450,124200,500,603,0.849,210.9,205.97,25912.51,25978.48,118,111
2025-12-29 14:17:57.409432,49543,NIFTY DEC 2025 FUT,25941.0,25943.7,2.7,111375,124650,513,607,0.8935,217.11,205.35,25913.42,25978.33,108,111
2025-12-29 14:17:57.609384,49543,NIFTY DEC 2025 FUT,25941.0,25943.7,2.7,112575,120225,523,595,0.9364,215.25,202.06,25913.6,25976.46,105,104
2025-12-29 14:17:57.811112,49543,NIFTY DEC 2025 FUT,25941.0,25943.7,2.7,111750,120075,514,593,0.9307,217.41,202.49,25913.88,25976.5,107,104
2025-12-29 14:17:58.209502,49543,NIFTY DEC 2025 FUT,25941.0,25943.7,2.7,110550,121050,502,589,0.9133,220.22,205.52,25914.7,25978.99,113,110
2025-12-29 14:17:58.409677,49543,NIFTY DEC 2025 FUT,25941.0,25943.5,2.5,110625,119175,502,584,0.9283,220.37,204.07,25914.66,25976.64,112,105
2025-12-29 14:17:58.609989,49543,NIFTY DEC 2025 FUT,25941.0,25943.5,2.5,111150,123075,509,595,0.9031,218.37,206.85,25914.62,25978.6,111,110
2025-12-29 14:17:58.810281,49543,NIFTY DEC 2025 FUT,25941.0,25943.3,2.3,111450,118350,511,579,0.9417,218.1,204.4,25914.83,25976.75,112,105
