time,type,ltp,volume,oi,ltq,atp,total_buy_qty,total_sell_qty,open,high,low,close,bid_price_1,bid_qty_1,bid_orders_1,ask_price_1,ask_qty_1,ask_orders_1,bid_price_2,bid_qty_2,ask_price_2,ask_qty_2,bid_price_3,bid_qty_3,ask_price_3,ask_qty_3,bid_price_4,bid_qty_4,ask_price_4,ask_qty_4,bid_price_5,bid_qty_5,ask_price_5,ask_qty_5
2025-12-29 12:47:52.552395,full,25980.0,3338100,11154825,75,26024.05078125,297825,420075,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.30078125,300,2,25979.69921875,75,1,25975.099609375,375,25980.0,600,25975.0,675,25980.900390625,600,25974.900390625,225,25981.0,75,25974.80078125,300,25981.80078125,600
2025-12-29 12:47:53.649108,full,25980.0,3338475,11154825,75,26024.0390625,295950,420750,26080.0,26100.19921875,25972.400390625,26060.19921875,25976.0,300,2,25976.900390625,75,1,25975.30078125,150,25979.400390625,375,25975.0,675,25980.0,525,25974.900390625,150,25980.900390625,600,25974.80078125,300,25981.0,75
2025-12-29 12:47:54.353881,full,25979.400390625,3338625,11154825,75,26024.0390625,297075,421875,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.30078125,150,1,25979.400390625,300,1,25975.0,675,25980.0,525,25974.599609375,600,25980.900390625,600,25974.5,1200,25981.0,75,25974.400390625,1050,25981.69921875,600
2025-12-29 12:47:55.451391,full,25976.5,3338850,11154825,75,26024.0390625,298725,422325,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.30078125,150,1,25979.400390625,300,1,25975.0,675,25980.0,525,25974.599609375,750,25980.900390625,600,25974.5,1125,25981.0,75,25974.400390625,1050,25981.69921875,600
2025-12-29 12:47:55.955255,full,25979.400390625,3339075,11154825,150,26024.029296875,302550,414825,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.30078125,75,1,25979.400390625,150,1,25975.0,675,25980.0,600,25974.900390625,75,25980.900390625,600,25974.80078125,225,25981.0,75,25974.69921875,225,25981.80078125,600
2025-12-29 12:47:57.052877,full,25977.19921875,3339450,11154825,75,26024.029296875,303375,420975,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,450,3,25979.400390625,150,1,25974.900390625,150,25980.0,675,25974.80078125,225,25980.900390625,600,25974.69921875,1425,25981.0,75,25974.599609375,2400,25981.80078125,600
2025-12-29 12:47:57.555229,full,25977.19921875,3339450,11154825,75,26024.029296875,303600,420825,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,450,3,25979.400390625,150,1,25974.900390625,150,25980.0,675,25974.80078125,375,25980.900390625,600,25974.69921875,1200,25981.0,75,25974.599609375,2400,25981.80078125,600
2025-12-29 12:47:58.652307,full,25977.19921875,3339450,11154825,75,26024.029296875,303450,420900,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,525,4,25979.400390625,150,1,25974.900390625,150,25980.0,675,25974.80078125,225,25980.900390625,600,25974.69921875,1275,25981.0,75,25974.599609375,2250,25981.80078125,600
2025-12-29 12:47:59.164752,full,25977.19921875,3339450,11154825,75,26024.029296875,303150,420600,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,525,4,25979.400390625,150,1,25974.900390625,150,25980.0,600,25974.80078125,150,25980.19921875,75,25974.69921875,1200,25980.900390625,600,25974.599609375,1875,25981.0,75
2025-12-29 12:48:00.461239,full,25979.400390625,3339675,11154825,150,26024.01953125,302250,420150,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,450,4,25980.0,600,5,25974.900390625,150,25980.19921875,75,25974.80078125,225,25980.900390625,600,25974.69921875,1050,25981.0,75,25974.599609375,1950,25981.80078125,600
2025-12-29 12:48:00.954395,full,25979.400390625,3339675,11154825,150,26024.01953125,298650,420675,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,450,4,25980.0,675,6,25974.900390625,150,25980.900390625,600,25974.80078125,75,25981.0,75,25974.69921875,1050,25981.80078125,600,25974.599609375,1800,25981.900390625,75
2025-12-29 12:48:02.053423,full,25980.0,3339750,11154825,75,26024.01953125,298500,420450,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,375,3,25979.80078125,150,1,25974.900390625,150,25980.0,450,25974.80078125,225,25980.900390625,600,25974.69921875,900,25981.0,75,25974.599609375,2700,25981.80078125,600
2025-12-29 12:48:02.568304,full,25980.0,3339750,11154825,75,26024.01953125,299100,420300,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,375,3,25979.80078125,150,1,25974.900390625,150,25980.0,450,25974.80078125,225,25980.900390625,600,25974.69921875,975,25981.0,75,25974.599609375,3000,25981.80078125,600
2025-12-29 12:48:03.654245,full,25980.0,3339750,11154825,75,26024.01953125,301425,419325,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,525,4,25979.80078125,150,1,25974.900390625,150,25980.0,450,25974.80078125,525,25980.900390625,600,25974.69921875,1350,25981.0,75,25974.599609375,2475,25981.80078125,600
